Table 1
Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
04/26/2025,4118,58378,62496,2138,164,304,468,27,11,38,0,0,0,0,0,0,0.0463817387081107,0.00635513378327452,0.00899257552483359
04/27/2025,4771,56974,61745,2581,155,391,546,16,10,26,0,0,0,0,0,0,0.0358415426535318,0.00810896198265876,0.0102518422544336
04/28/2025,6887,65675,72562,3695,298,435,733,71,10,81,1,0,1,0,0,0,0.0537244083055031,0.0076741530262657,0.0120448719715554
04/29/2025,7227,74348,81575,3652,301,365,666,68,11,79,2,0,2,3,0,3,0.0517503805175038,0.00578361220207672,0.00985596077229543
04/30/2025,15262,78337,93599,6018,684,563,1247,166,9,175,2,0,2,4,0,4,0.0560870134975757,0.00786346171030292,0.0157266637464075
05/01/2025,9995,81501,91496,4369,357,569,926,107,17,124,0,0,0,2,0,2,0.0466233116558279,0.00829437675611342,0.0124814199527848
05/02/2025,5460,69842,75302,2569,171,352,523,37,35,72,0,0,0,1,0,1,0.0382783882783883,0.00796082586409324,0.0101590927199809
05/03/2025,2509,52481,54990,1324,92,247,339,19,24,43,0,0,0,0,0,0,0.0442407333599043,0.00773613307673253,0.0094017094017094
05/04/2025,2850,52775,55625,1364,110,227,337,20,26,46,0,0,0,0,1,1,0.0456140350877193,0.00706774040738986,0.00904269662921348
05/05/2025,11016,72745,83761,5956,534,283,817,210,32,242,4,0,4,2,0,2,0.068082788671024,0.00677709808234243,0.014839841931209
05/06/2025,7302,50616,57918,4282,266,237,503,90,26,116,0,0,0,0,1,1,0.0487537660914818,0.00756677730361941,0.0127594184882075
05/07/2025,12785,71419,84204,6943,440,328,768,139,24,163,0,0,0,1,0,1,0.0453656628861948,0.00705694563071452,0.0128734976960714
05/08/2025,14085,70465,84550,6547,450,321,771,160,34,194,2,0,2,1,1,2,0.0435214767483138,0.00743631590151139,0.0134476641040804
05/09/2025,8280,66585,74865,4391,220,281,501,71,31,102,1,0,1,0,2,2,0.0352657004830918,0.00626267177292183,0.00947038001736459
05/10/2025,4174,43617,47791,2179,116,190,306,24,21,45,0,0,0,0,0,0,0.0335409678965022,0.00752000366829447,0.00979263878136051
05/11/2025,4159,41905,46064,2020,143,136,279,18,16,34,1,0,1,0,1,1,0.0389516710747776,0.00627610070397327,0.00922629385203196
05/12/2025,8120,60211,68331,3976,317,206,523,87,21,108,2,0,2,0,0,0,0.05,0.00646061350915946,0.0116345436185626
05/13/2025,10939,59731,70670,5035,481,206,687,92,22,114,1,0,1,0,1,1,0.0524728037297742,0.00575915353836366,0.0129899533040894
05/14/2025,4540,50305,54845,2265,176,164,340,37,21,58,3,0,3,3,0,3,0.0482378854625551,0.00578471324918,0.00929893335764427
05/15/2025,6290,82410,88700,3136,228,263,491,65,26,91,2,0,2,1,2,3,0.0470588235294118,0.00550904016502852,0.0084554678692221
05/16/2025,8343,74779,83122,3984,285,289,574,83,23,106,0,0,0,0,1,1,0.0441088337528467,0.00605785046603993,0.00987704819422054
05/17/2025,5393,53941,59334,2998,211,239,450,53,15,68,0,0,0,0,0,0,0.0489523456332283,0.00667395858437923,0.0105167357670139
05/18/2025,3506,12424,15930,1847,143,54,197,20,8,28,0,0,0,0,0,0,0.0464917284654877,0.00708306503541533,0.0157564344005022
05/19/2025,4278,110530,114808,2050,160,638,798,49,31,80,2,1,3,1,0,1,0.0495558672276765,0.00793449742151452,0.00948540171416626
05/20/2025,16222,94847,111069,8039,764,512,1276,259,18,277,11,0,11,0,0,0,0.0637405991862902,0.00725378767910424,0.0155038759689922
05/21/2025,13729,88676,102405,6702,585,525,1110,140,25,165,4,0,4,4,0,4,0.0533906329667128,0.00780368983716,0.0139153361652263
05/22/2025,7110,90949,98059,3491,219,429,648,79,24,103,4,1,5,1,0,1,0.0426160337552743,0.00637720040902044,0.00900478283482393
05/23/2025,4835,77496,82331,2430,149,425,574,43,16,59,0,0,0,0,1,1,0.0397104446742503,0.00689067822855373,0.0088180636698206
05/24/2025,3602,59315,62917,1714,128,349,477,33,10,43,1,0,1,0,0,0,0.0449750138811771,0.00782264182753098,0.00994961616097398
05/25/2025,3530,59479,63009,1732,117,406,523,16,15,31,1,0,1,0,2,2,0.0379603399433428,0.00886027001126448,0.0104905648399435
05/26/2025,3318,82518,85836,1682,81,490,571,25,16,41,0,0,0,0,5,5,0.0319469559975889,0.00752563077146804,0.00846963977818165
05/27/2025,13150,89465,102615,6323,479,479,958,142,34,176,1,0,1,0,1,1,0.0473003802281369,0.00734365394288269,0.0124640647078887
05/28/2025,12855,83719,96574,6011,647,371,1018,148,19,167,5,1,6,1,1,2,0.0623103850641774,0.00605597295715429,0.0135440180586907
05/29/2025,8314,86838,95152,3761,374,424,798,80,30,110,0,0,0,0,0,0,0.0546066875150349,0.00669061931412515,0.0108773331091307
05/30/2025,21296,82985,104281,11547,836,310,1146,336,9,345,13,0,13,1,0,1,0.0556912096168295,0.00469964451406881,0.0151130119580748
05/31/2025,10215,66808,77023,6006,369,259,628,120,5,125,7,0,7,0,0,0,0.048556045031816,0.00446054364746737,0.0103086091167573
06/01/2025,4965,38739,43704,2760,172,168,340,51,9,60,1,0,1,0,1,1,0.0451158106747231,0.00691809287797826,0.0112575507962658
06/02/2025,18818,61613,80431,9902,771,312,1083,225,16,241,5,0,5,0,1,1,0.0531937506642576,0.00686543424277344,0.0177046163792568
06/03/2025,12093,49017,61110,6228,579,301,880,136,4,140,5,0,5,1,0,1,0.0596212685024394,0.00726278638023543,0.0176239567992145
06/04/2025,18189,51175,69364,8713,793,321,1114,302,7,309,15,0,15,7,0,7,0.0614107427566111,0.00736687835857352,0.0215385502566173
06/05/2025,18515,51482,69997,8846,681,320,1001,223,6,229,15,0,15,4,0,4,0.0498514717796381,0.00724525076725846,0.0185150792176808
06/06/2025,17245,57912,75157,8601,702,256,958,287,4,291,13,1,14,1,0,1,0.0581617860249348,0.0049730625777041,0.0171773753609112
06/07/2025,9936,45876,55812,4966,438,227,665,109,2,111,6,0,6,0,0,0,0.0556561996779388,0.00536228093120586,0.014315917723787
06/08/2025,6091,46234,52325,3159,197,184,381,60,3,63,4,0,4,0,0,0,0.0428501067148251,0.00434744992862396,0.00882943143812709
06/09/2025,11799,55187,66986,5693,947,243,1190,251,6,257,3,0,3,2,0,2,0.101957793033308,0.00496493739467628,0.0220493834532589
06/10/2025,28288,56600,84888,15724,1000,277,1277,852,6,858,24,0,24,14,0,14,0.0668127828054299,0.00565371024734982,0.0260343040241259
06/11/2025,10413,76940,87353,5780,500,304,804,191,8,199,13,0,13,5,0,5,0.0680879669643715,0.00496490772030153,0.0124895538790883
06/12/2025,12344,65042,77386,6111,374,259,633,166,4,170,5,0,5,5,0,5,0.0445560596241089,0.0044740321638326,0.0108675987904789
06/13/2025,9389,77060,86449,4938,315,301,616,96,14,110,2,0,2,5,0,5,0.0445201831930983,0.00497015312743317,0.00926557854920242
06/14/2025,4849,83505,88354,2448,170,208,378,56,12,68,1,0,1,1,0,1,0.0470200041245618,0.00344889527573199,0.00584014306086878
06/15/2025,4432,80170,84602,2347,130,285,415,29,11,40,1,0,1,0,0,0,0.036101083032491,0.00441561681426968,0.00607550648920829
06/16/2025,8939,97212,106151,3956,243,397,640,51,15,66,1,0,1,2,0,2,0.0332251929746057,0.00485536765008435,0.00724439713238688
06/17/2025,14614,92675,107289,6321,896,358,1254,175,7,182,11,1,12,3,0,3,0.074243875735596,0.00468303210142973,0.0141580217916096
06/18/2025,16960,105732,122692,7843,1197,488,1685,324,10,334,12,0,12,8,0,8,0.0908608490566038,0.00551394090719933,0.0173116421608581
06/19/2025,9533,88257,97790,5194,691,457,1148,107,9,116,4,0,4,3,0,3,0.0844435120109095,0.00594853665998164,0.0136005726556908
06/20/2025,9006,88940,97946,3874,582,485,1067,99,8,107,5,0,5,4,0,4,0.0766155896069287,0.00624016190690353,0.0127110857002838
06/21/2025,6368,73578,79946,2755,409,542,951,62,4,66,1,0,1,2,0,2,0.0744346733668342,0.00793715512789149,0.0132339329047107
06/22/2025,6182,67531,73713,2586,292,467,759,38,7,45,0,0,0,0,1,1,0.0533807829181495,0.00767055130236484,0.0115040766214915
06/23/2025,16762,82699,99461,7126,553,605,1158,167,11,178,2,0,2,2,0,2,0.0431929364037704,0.00818631422387212,0.0140859231256472
06/24/2025,13141,59975,73116,5683,408,343,751,133,3,136,5,0,5,10,0,10,0.0423103264591736,0.00666944560233431,0.013075113518245
06/25/2025,9425,19214,28639,4304,271,124,395,89,7,96,4,0,4,0,0,0,0.0386206896551724,0.00827521598834183,0.0182618108174168
06/26/2025,5292,14685,19977,2821,174,77,251,56,7,63,4,0,4,0,0,0,0.0442176870748299,0.00769492679605039,0.0173699754717926
06/27/2025,9345,17132,26477,4603,439,93,532,93,7,100,3,0,3,1,1,2,0.0573568753344034,0.00729628764884427,0.0249650640178268
06/28/2025,5781,11331,17112,3052,195,68,263,57,4,61,0,0,0,0,0,0,0.0435910742086144,0.00785455829141294,0.0199275362318841
06/29/2025,4332,11761,16093,2123,221,61,282,33,5,38,1,0,1,0,0,0,0.0588642659279778,0.0073123033755633,0.0211893369788107
06/30/2025,15320,18641,33961,8361,588,115,703,180,3,183,7,0,7,1,0,1,0.0506527415143603,0.00852958532267582,0.0275315803421572
07/01/2025,22421,101492,123913,12090,961,418,1379,301,16,317,9,0,9,6,0,6,0.0569555327594666,0.00500532061640326,0.0144052682123748
07/02/2025,16827,138768,155595,8504,700,673,1373,196,21,217,4,0,4,1,0,1,0.0535448980804659,0.00579384296091318,0.0109579356663132
07/03/2025,10500,119246,129746,5521,443,564,1007,95,22,117,0,0,0,0,0,0,0.0512380952380952,0.00573604146051021,0.00941840210873553
